code,Exports as % of GDP,R&D per job,Innovation active businesses,% of SMEs where finance is a major obstacle,Business births as % of all active enterprises,% of population with no or low skills (RQF 1 or lower),% of population with tertiary education (RQF 4+),% of employers providing training in past 12 months,% of vacancies which are skill shortage vacancies,% of SMEs where political uncertainty & government policy is a major obstacle,% of SMEs where legislation & regulation is a major obstacle,Economic inactivity rate,% of economic inactivity due to long-term ill health,% of population aged 16-64,FDI per job,Gross fixed capital formation per job,5G mobile coverage,Access to Gigabit-capable internet services
TLC,0.28545252780716923,614.93,0.385,0.08,0.11646638518999675,0.12700000000000003,0.39899999999999997,0.586607245549554,0.059034397589744804,0.29,0.26,0.259,0.3349999999999999,0.6029033186052859,25460.68,8726.28134659293,0.4832615343792189,0.8620052673402542
TLD,0.25283846503195695,1171.61,0.35100000000000003,0.08,0.1157258064516129,0.105,0.428,0.580735230105402,0.06447888581499049,0.29,0.22,0.235,0.32699999999999996,0.5938848908557569,35749.83,9335.01334245832,0.6232429516328478,0.8811494753896854
TLE,0.21746324838775075,692.12,0.354,0.06,0.11039540184322663,0.105,0.4,0.5825763538368011,0.048584254910786405,0.26,0.25,0.24,0.28,0.6065111869128439,32587.77,9801.472954319293,0.6622072372613637,0.895192169623738
TLG,0.29543871152821605,1531.92,0.354,0.1,0.11330314790858129,0.109,0.433,0.554217606831072,0.0436424737113124,0.27,0.25,0.225,0.293,0.599110667374119,34207.01,9114.260726412325,0.7252405583816851,0.8816832727022981
TLH,0.283952125061065,3167.88,0.389,0.05,0.10604261264407963,0.07700000000000001,0.438,0.578136385785054,0.0611656605086815,0.24,0.23,0.197,0.24400000000000002,0.5898125811121769,29238.5,12096.608761688472,0.7062278385446634,0.8234948724619535
TLJ,0.2607661425140439,1778.16,0.402,0.06,0.0992915178623025,0.079,0.485,0.621900659637856,0.0787009419621783,0.28,0.22,0.18399999999999997,0.21899999999999983,0.5935350219092904,77276.63,11982.87416958799,0.6539507747523067,0.8151971497658155
TLK,0.2330731110608111,912.61,0.373,0.07,0.09768335646418277,0.073,0.46099999999999997,0.59645728195293,0.0639867716327546,0.25,0.23,0.19,0.28,0.5784977059188035,30880.85,10095.233464633258,0.5686404879133232,0.7702633090691561
TLL,0.34080006899005033,594.34,0.309,0.08,0.10292031502225701,0.106,0.445,0.604187179845078,0.060800702551853505,0.31,0.24,0.245,0.334,0.6057380789557844,31374.94,7969.408802197013,0.4392167779417801,0.7638914561524718
TLI,0.4124806809998139,1817.63,0.368,0.12,0.12602772103388313,0.075,0.616,0.593348761858584,0.060064428955309605,0.25,0.21,0.204,0.21799999999999997,0.6904400954735046,166935.72,14090.895400928286,0.9917096792628952,0.8960774874629905
TLF,0.2698514842022771,999.32,0.35100000000000003,0.08,0.10777482712381353,0.09899999999999999,0.42200000000000004,0.5669209367167489,0.0639564371650683,0.21,0.17,0.20899999999999996,0.2949999999999999,0.5943984140293092,26153.54,10095.040200552607,0.7512836888526941,0.8582721261636544
TLM,0.32862362136854273,1017.83,0.324,0.05,0.10631490153873004,0.092,0.545,0.625822574642756,0.0678508786042806,0.27,0.26,0.23,0.3370000000000001,0.6291324383891004,23071.6,10472.297243104427,0.25377785422140675,0.7775763641971296
TLN,0.3014937169050818,1012.33,0.321,0.08,0.08299204080055637,0.125,0.419,0.562272417795731,0.0695157897070342,0.34,0.22,0.24600000000000002,0.36700000000000005,0.6106591181763648,24176.12,10581.168141171844,0.6339579450694904,0.9420257803708542
