code,UK Average Annual log percentage growth of Productivity (2008-2023)
TLC31,0.009983025757289472
TLC32,0.0060883117320880585
TLC33,0.025885081715176856
TLC41,-0.0011255936598753753
TLC42,0.010489119945909545
TLC43,0.01289507841262439
TLC44,0.0019663213269990247
TLD13,0.0006949678223923191
TLD14,0.01553796233196092
TLD33,0.012385628962663731
TLD34,0.00241894758787371
TLD35,0.014260028601134896
TLD36,0.01359034903778138
TLD37,0.007244304133357105
TLD41,0.014530020398147
TLD42,-0.0015759873682092973
TLD44,0.013788725280907303
TLD45,-0.0009941953884719486
TLD46,0.011156023857678577
TLD47,0.0016530393448904352
TLD61,0.0010730148338572222
TLD62,-0.0010363609532497856
TLD63,0.004432347431531211
TLD71,0.004946306732834434
TLD72,0.0001913144607370872
TLD73,0.00240879190138917
TLD74,0.004599962683803168
TLE11,-0.009131615147975699
TLE12,-0.003340734043861578
TLE13,0.008996416589894569
TLE21,-0.0022112096645871067
TLG13,0.01066279153227594
TLG21,-0.0056605377729783985
TLG22,-0.008923336177295365
TLG23,0.006698717128885671
TLG24,-0.002771574849281381
TLG31,-0.002069702643841431
TLG32,-0.00830394667009268
TLG33,-0.002918086880857255
TLG36,0.004505990318090684
TLG37,0.006271272906199835
TLG38,0.006058266170770625
TLG39,0.008784813012833936
TLH21,0.006484947881764569
TLH24,-0.0005506273291806825
TLH25,0.006859144854609826
TLH26,0.005394797458673987
TLH27,0.003970978611816159
TLH31,0.0036767880050053493
TLH32,0.002579061202260687
TLH34,0.008271316299279737
TLH35,-0.0032050755623849623
TLH36,0.006559085266993788
TLH37,-0.0031209397267324118
TLH41,0.004925794237231843
TLH42,0.0023595031730449635
TLJ14,-0.0016011756268182371
TLJ15,0.010713455900489895
TLJ16,0.026693199719931057
TLJ21,0.024845401780212602
TLJ22,0.008950144040080647
TLJ25,0.005524721387282838
TLJ26,-0.0033999705906924286
TLJ27,0.009357157179661494
TLJ28,0.009663873314024525
TLJ31,0.006353331857118209
TLJ32,0.00287284609600403
TLJ34,0.004776905795980291
TLJ35,0.013879087267633849
TLJ36,0.025080659974940942
TLJ37,0.0198910825207444
TLJ41,0.0013804476657278168
TLJ43,-0.01363108784199447
TLJ44,0.004040165499578367
TLJ45,-0.004803834058843156
TLJ46,0.008870737506730583
TLK30,0.01011631394468632
TLK41,-0.003119552535246051
TLK42,-0.009060466942776853
TLK43,0.006131619900942967
TLK51,-0.003623125648410171
TLK52,0.012095766871986886
TLK61,0.012261231961902356
TLK62,0.0032346655676786184
TLK63,6.816284108642397e-06
TLK64,-0.005569673784010772
TLK71,0.0036349922136757586
TLK72,0.0033324009174603357
TLK73,0.002612280917913168
TLL31,0.0062235629834892945
TLL32,-0.004309890462211167
TLL33,0.007709869086364781
TLL34,0.01723060733019584
TLL41,0.008215953991303355
TLL42,0.007065762519711131
TLL43,0.001037583329083939
TLL44,0.002552727532887644
TLL51,0.0046819616090778855
TLL52,0.00612176008519499
TLH51,0.010307657452994749
TLH52,0.0010470181600204262
TLH53,0.010641660722931748
TLH61,0.004641058396400588
TLH62,0.005715264392088256
TLH63,0.01296125366327754
TLH64,-0.007121844204628758
TLI33,0.013106874375805806
TLI34,-0.00016184511286822337
TLI35,-0.006955782397348938
TLI36,0.015052375067622787
TLI41,-0.008395249984327554
TLI42,-0.027370233077504896
TLI43,0.019154344486176457
TLI44,0.005437911966037549
TLI45,-0.001946969498128759
TLI51,-0.016438004922871487
TLI52,-0.015066114774994628
TLI53,-0.020972111070233387
TLI54,1.3986503075891222e-05
TLI61,-0.006674786791348867
TLI62,0.009164732708573571
TLI63,-0.0013626803062413372
TLI71,0.006487505162088484
TLI72,0.00021733243914715908
TLI73,-0.0071729316457651866
TLI74,-0.0017434585366920886
TLI75,-0.00204604689296648
TLJ12,0.004558662572260867
TLJ13,-0.006779087838436008
TLE22,0.002091415796497564
TLE32,0.0060744302754603295
TLE33,0.0012934645162377004
TLE34,0.027019447181749947
TLE35,0.016238079293078477
TLE41,0.003459913062199919
TLE42,0.007721359657927114
TLE44,0.005947591421339204
TLE45,0.0031144469140623227
TLF11,-0.012302159802330218
TLF12,0.0011971491708427115
TLF13,0.008239396861284772
TLF14,-0.0009582513285482838
TLF15,0.002022490388451104
TLF16,0.009590992767239234
TLF21,0.005606386669048765
TLF22,6.509781463120608e-05
TLF24,0.00492114020948217
TLF25,-0.0069685070962031284
TLF30,0.003936685716320673
TLG11,0.016927579982439885
TLG12,0.016039215767210457
TLL53,0.006097255780248586
TLL54,0.012945137346998158
TLM01,0.004815396249477644
TLM02,0.0023138397354236064
TLM03,0.005837281872046359
TLM11,0.010472969878191959
TLM12,-0.007272652914821975
TLM13,0.014433267239702788
TLM14,0.030246594681386144
TLM20,0.012715210920479574
TLM31,0.013271571038675371
TLM32,0.011227021105757433
TLM33,0.01368797693582658
TLM34,0.020186304926503123
TLM50,-0.002207640985783558
TLM91,0.014929386255692793
TLM92,-0.0018409263538982756
TLM93,0.0005175228145189337
TLM94,0.0019654130962202623
TLM95,-0.0032313962461768615
TLN06,0.005502888365203813
TLN07,0.015297169942621973
TLN08,0.0029183740992848447
TLN09,0.014309863540072005
TLN0A,0.01058999740277778
TLN0B,0.004161495467424518
TLN0C,0.0021724296217527695
TLN0D,0.002346653686762797
TLN0E,0.018083267895688298
TLN0F,-0.01712148430733033
TLN0G,0.015465426744237653
